"ano";"UF";"sexo";"idade";"cor";"mae_viva";"reg_nascimento";"UF_nasc";"alfabetizado";"anos_estudo";"renda_total"
2005;"CE";"mulher";74;"branca";0;1;"SP";1;4;300
2005;"PR";"homem";6;"branca";1;1;;1;0;
2005;"SP";"mulher";11;"parda";1;1;;1;3;0
2005;"GO";"mulher";29;"parda";1;1;;1;11;900
2005;"MG";"homem";12;"parda";1;1;;1;5;0
2005;"SP";"mulher";9;"branca";1;1;;1;2;
2005;"BA";"homem";25;"parda";1;1;;1;7;480
2005;"PA";"homem";24;"parda";1;1;;1;2;0
2005;"MS";"homem";16;"parda";1;1;;1;7;0
2005;"PE";"homem";28;"parda";1;1;;1;8;300
2005;"RJ";"homem";69;"branca";0;1;;1;4;600
2005;"PA";"homem";1;"parda";1;1;;0;0;
2005;"RS";"homem";16;"branca";1;1;;1;7;140
2005;"PE";"mulher";16;"parda";1;1;;1;6;0
2005;"PR";"mulher";59;"branca";0;1;;1;11;490
2005;"PE";"mulher";18;"branca";1;1;;1;10;50
2005;"CE";"homem";44;"branca";0;1;;0;0;0
2005;"MG";"mulher";36;"parda";1;1;;1;5;500
2005;"PE";"mulher";84;"branca";0;1;;0;0;300
2005;"CE";"mulher";20;"parda";1;1;;1;7;130
2005;"MG";"homem";35;"parda";1;1;;1;4;443
2005;"ES";"homem";27;"branca";0;1;;1;5;550
2005;"TO";"mulher";40;"parda";1;1;"MA";0;0;0
2005;"PB";"mulher";4;"parda";1;1;;0;0;
2005;"SP";"mulher";69;"branca";0;1;"BA";1;4;0
2005;"GO";"mulher";20;"parda";1;1;"MA";1;11;300
2005;"PA";"homem";37;"parda";1;1;"BA";1;3;400
2005;"PR";"homem";6;"branca";1;1;;1;1;
2005;"GO";"homem";3;"preta";1;1;;0;0;
2005;"RS";"homem";2;"branca";1;1;;0;0;
2005;"PE";"homem";66;"parda";0;1;;1;4;300
2005;"SP";"homem";13;"branca";1;1;;1;6;0
2005;"GO";"homem";16;"parda";1;1;;1;9;0
2005;"GO";"homem";15;"branca";1;1;;1;7;0
2005;"AL";"homem";10;"branca";1;1;;1;2;0
2005;"PB";"mulher";9;"parda";1;1;;1;2;
2005;"PI";"homem";65;"preta";0;1;;1;4;300
2005;"PE";"mulher";37;"parda";1;1;;1;4;150
2005;"MG";"mulher";25;"branca";1;1;;1;11;80
2005;"MS";"mulher";64;"branca";0;1;"RS";1;15;1200
2005;"MG";"homem";21;"branca";1;1;;1;11;400
2005;"PB";"homem";17;"parda";1;1;;1;5;0
2005;"AM";"homem";74;"parda";0;1;;1;0;800
2005;"BA";"mulher";8;"branca";1;1;;1;1;
2005;"RS";"homem";24;"parda";1;1;;1;4;700
2005;"AL";"homem";23;"parda";1;1;;1;7;320
2005;"TO";"homem";11;"branca";1;1;;1;4;15
2005;"BA";"mulher";10;"parda";1;1;;1;1;0
2005;"RJ";"mulher";11;"indígena";1;1;;1;4;0
2005;"BA";"homem";40;"branca";0;1;;1;11;1000
2005;"SP";"homem";41;"parda";1;1;"BA";1;3;470
2005;"SP";"mulher";85;"preta";0;1;;0;0;300
2005;"ES";"mulher";41;"parda";0;1;"BA";0;0;300
2005;"BA";"homem";31;"preta";1;1;;1;11;400
2005;"BA";"homem";27;"parda";1;1;;1;4;550
2005;"PE";"mulher";26;"parda";1;1;;1;11;327
2005;"RJ";"homem";13;"parda";0;1;;0;0;0
2005;"MT";"mulher";52;"branca";1;1;;1;15;1200
2005;"MA";"mulher";31;"parda";1;1;;1;4;150
2005;"BA";"mulher";25;"branca";1;1;;1;14;0
2005;"CE";"mulher";55;"parda";0;1;;0;0;0
2005;"BA";"homem";26;"preta";1;1;;1;8;0
2005;"TO";"mulher";21;"parda";1;1;;1;13;200
2005;"MG";"mulher";7;"branca";1;1;;1;0;
2005;"GO";"mulher";2;"parda";1;1;;0;0;
2005;"PR";"mulher";76;"branca";0;1;"RS";1;8;600
2005;"GO";"mulher";11;"parda";1;1;;1;3;0
2005;"MG";"mulher";6;"parda";1;1;;0;0;
2005;"RJ";"mulher";35;"parda";1;1;;1;10;400
2005;"MG";"mulher";13;"parda";1;1;;1;4;0
2005;"PA";"homem";19;"branca";1;1;;1;10;220
2005;"PB";"homem";2;"branca";1;1;;0;0;
2005;"MG";"homem";57;"branca";1;1;;0;0;300
2005;"BA";"homem";59;"parda";1;1;"PE";0;1;0
2005;"GO";"homem";30;"parda";1;1;;1;6;700
2005;"MG";"homem";1;"branca";1;1;;0;0;
2005;"PE";"mulher";12;"parda";1;1;;1;5;0
2005;"PE";"homem";25;"branca";1;1;;1;4;200
2005;"PR";"mulher";9;"branca";1;1;;1;3;
2005;"SP";"homem";29;"parda";1;1;;1;15;0
2005;"PI";"homem";4;"parda";1;1;"BA";0;0;
2005;"PA";"homem";76;"parda";0;1;;1;2;300
2005;"PR";"homem";62;"branca";0;1;"ES";1;11;4500
2005;"RJ";"homem";;"parda";0;1;;0;0;300
2005;"CE";"homem";49;"branca";0;1;;1;2;0
2005;"PA";"mulher";37;"parda";1;1;;1;5;300
2005;"PA";"homem";54;"parda";0;1;;1;2;400
2005;"BA";"mulher";7;"parda";1;1;"MG";1;0;
2005;"CE";"mulher";15;"parda";1;1;;1;8;15
2005;"PE";"homem";23;"branca";1;1;;1;11;800
2005;"CE";"mulher";75;"parda";0;1;;1;0;600
2005;"PB";"mulher";10;"parda";1;1;;1;3;15
2005;"CE";"mulher";50;"branca";1;1;;1;11;920
2005;"MG";"mulher";32;"parda";0;1;;1;10;365
2005;"PR";"mulher";10;"branca";1;1;;1;3;0
2005;"AM";"mulher";13;"branca";1;1;;1;1;0
2005;"MG";"mulher";34;"parda";1;1;;1;7;30
2005;"RS";"mulher";33;"branca";1;1;;1;5;150
2005;"BA";"mulher";37;"preta";0;1;;1;11;360
2005;"AM";"homem";0;"parda";1;1;;0;0;
2005;"MA";"mulher";33;"branca";1;1;;1;5;115
2005;"PE";"homem";15;"branca";1;1;;1;8;0
2005;"PI";"mulher";18;"parda";1;1;;1;9;0
2005;"TO";"mulher";90;"parda";0;1;;0;0;300
2005;"CE";"mulher";48;"parda";1;1;;1;0;52
2005;"CE";"mulher";70;"parda";0;1;;0;0;300
2005;"TO";"mulher";14;"parda";1;1;;1;5;0
2005;"DF";"mulher";12;"branca";1;1;"GO";1;3;0
2005;"PE";"homem";34;"branca";1;1;;1;8;460
2005;"MG";"mulher";24;"branca";1;1;;1;9;300
2005;"SP";"homem";58;"parda";0;1;;1;7;1200
2005;"PA";"mulher";14;"parda";1;1;"MA";1;6;0
2005;"AP";"homem";0;"parda";1;1;;0;0;
2005;"RR";"homem";7;"parda";1;1;;1;0;
2005;"MS";"mulher";0;"branca";1;1;;0;0;
2005;"SP";"homem";7;"branca";1;1;;1;0;
2005;"PA";"mulher";3;"branca";1;1;;0;0;
2005;"MG";"homem";57;"parda";1;1;;0;0;300
2005;"MG";"mulher";27;"branca";1;1;;1;15;800
2005;"BA";"homem";27;"branca";1;1;;1;11;150
2005;"DF";"homem";26;"branca";1;1;;1;11;1800
2005;"CE";"mulher";33;"parda";1;1;;1;3;87
2005;"SC";"homem";8;"branca";1;1;;1;1;
2005;"PA";"mulher";29;"parda";1;1;;1;11;0
2005;"BA";"homem";19;"parda";1;1;"PE";1;7;0
2005;"MA";"homem";50;"parda";0;1;;0;0;85
2005;"CE";"homem";41;"parda";1;1;;1;15;27500
2005;"RS";"mulher";19;"branca";1;1;;1;11;500
2005;"SP";"homem";67;"preta";0;1;;1;4;300
2005;"PE";"mulher";14;"parda";1;1;;1;3;0
2005;"MG";"homem";62;"parda";1;1;;1;4;300
2005;"PA";"homem";35;"parda";1;1;;1;4;600
2005;"SE";"homem";11;"branca";1;1;;1;5;0
2005;"GO";"mulher";3;"branca";1;1;;0;0;
2005;"RJ";"homem";11;"parda";1;1;;1;4;0
2005;"SP";"homem";29;"parda";1;1;;1;8;650
2005;"PE";"homem";18;"branca";1;1;;1;6;0
2005;"BA";"mulher";18;"preta";1;1;;1;6;0
2005;"DF";"homem";11;"parda";1;1;;1;4;0
2005;"RS";"homem";16;"branca";1;1;;1;6;300
2005;"GO";"homem";56;"branca";0;1;"estrangeiro";1;15;9000
2005;"SC";"mulher";11;"branca";1;1;;1;3;0
2005;"PR";"mulher";30;"parda";1;1;;1;11;390
2005;"PE";"homem";60;"parda";0;1;;0;0;300
2005;"PR";"mulher";14;"branca";1;1;;1;7;0
2005;"DF";"homem";15;"parda";1;1;;1;8;300
2005;"PE";"homem";0;"branca";1;1;;0;0;
2005;"BA";"mulher";44;"branca";0;1;;1;4;450
2005;"SC";"homem";13;"branca";1;1;;1;6;0
2005;"PA";"mulher";16;"parda";1;1;;1;6;0
2005;"BA";"mulher";27;"parda";1;1;;1;11;300
